Country,Avg_MilExp_Pct_GDP,GDP_Avg_Growth,Top_3_Companies,Avg_Top3_Revenue_M,MilExp_USD_Millions,Latitude,Longitude,Total_Score
Poland,2.403872064910676,3.6,PGZ,3380.0,38001.0,52.0,20.0,135
United Kingdom,2.071487112958859,2.5,"BAE Systems, Rolls-Royce, Serco Group",21656.666666666668,81763.0,54.75844,-2.69531,130
France,1.923587857770221,1.85,"Safran, Thales, Dassault Aviation Group",19516.666666666668,64675.0,46.0,2.0,116
Ukraine,12.29389824385672,-4.2,JSC Ukrainian Defense Industry,3010.0,64705.0,49.0,32.0,108
Norway,1.739071678664343,1.85,Kongsberg Gruppen,4550.0,10435.0,62.0,10.0,104
Spain,1.3081771438358551,2.85,Navantia,1650.0,24615.0,40.0,-4.0,103
Italy,1.4802042454370141,1.7,"Leonardo, Fincantieri",14000.0,37965.0,42.83333,12.83333,99
Germany,1.315008021055229,1.15,"ThyssenKrupp, Rheinmetall, Diehl",17843.333333333332,88458.0,51.5,10.5,96
Romania,1.7738042450906861,3.35,,0.0,8716.0,46.0,25.0,89
Sweden,1.24696987845921,1.75,Saab,6030.0,12040.0,62.0,15.0,87
Lithuania,2.053366957802878,3.25,,0.0,2628.0,55.41667,24.0,82
Serbia,2.150688559245562,2.9,,0.0,2323.0,44.81892,20.45998,80
Croatia,1.708786011748629,3.85,,0.0,1629.0,45.16667,15.5,79
Bulgaria,1.708547418855303,2.95,,0.0,2330.0,42.66667,25.25,74
Cyprus,1.683850418599988,4.2,,0.0,598.0,35.0,33.0,72
Greece,2.974104511225248,1.6,,0.0,8022.0,39.0,22.0,70
Latvia,2.131907798422486,2.25,,0.0,1426.0,57.0,25.0,67
Montenegro,1.5099113171882401,4.7,,0.0,150.0,42.75,19.25,66
Hungary,1.4525520137634884,2.7,,0.0,4735.0,47.0,20.0,66
Netherlands,1.332096708325729,2.1,,0.0,23179.0,36.29923,-89.75119,64
Denmark,1.443086033632682,2.0,,0.0,9959.0,56.0,10.0,63
Estonia,2.273469158104423,1.8,,0.0,1442.0,59.0,26.0,62
Portugal,1.4157481299045132,2.55,,0.0,4642.0,39.6945,-8.13057,62
Albania,1.334259478177947,3.75,,0.0,536.0,41.0,20.0,60
Czechia,1.2444726491368268,2.1,Czechoslovak Group,4340.0,0.0,49.75,15.0,60
Kosovo,0.9780319569665876,4.8,,0.0,166.0,42.58333,20.91667,54
Ireland,0.2690584607039013,6.35,,0.0,1330.0,53.0,-8.0,54
Finland,1.561768461291971,0.7,,0.0,6988.0,64.0,26.0,53
Belgium,1.0148515184569247,2.1,,0.0,8562.0,50.75,4.5,52
Malta,0.4657314540766045,7.15,,0.0,109.0,35.91667,14.43333,48
Slovenia,1.12256035670941,2.75,,0.0,952.0,46.08333,15.0,48
Switzerland,0.6881960858362457,2.1,,0.0,6722.0,47.00016,8.01427,45
North Macedonia,1.3032459891357522,2.7,,0.0,354.0,41.66667,21.75,45
Belarus,1.5482106599755652,0.85,,0.0,1491.0,53.0,28.0,44
Bosnia and Herzegovina,0.8341765631833067,3.1,,0.0,0.0,44.25,17.83333,38
Iceland,0.0,3.95,,0.0,0.0,65.0,-18.0,37
Austria,0.8096673645433923,1.65,,0.0,5259.0,47.33333,13.33333,37
Moldova,0.394328962077743,2.4,,0.0,111.0,47.25,28.58333,28
Luxembourg,0.5746996297526628,1.75,,0.0,872.0,49.75,6.16667,25
